SA1_7DigitCode_2016,Neighbourhood,Usual Resident Population,Score,Decile
2111417,ABERFELDIE,396,1107,9
2111418,ABERFELDIE,405,1086,8
2111419,STRATHMORE,279,1143,10
2111420,NIDDRIE / ESSENDON WEST,345,1122,10
2111421,NIDDRIE / ESSENDON WEST,486,1099,9
2111422,ESSENDON,315,1105,9
2111423,ESSENDON,481,1121,10
2111424,ESSENDON,314,1093,9
2111425,KEILOR ROAD / ESSENDON NORTH,482,1060,7
2111426,KEILOR ROAD / ESSENDON NORTH,502,1056,7
2111427,KEILOR ROAD / ESSENDON NORTH,1077,1041,7
