Australian Bureau of Statistics,,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
LANP - 4 Digit Level and ENGP Proficiency in Spoken English by LGA (UR),,,,
Counting: Persons Place of Usual Residence,,,,
,,,,
Filters:,,,,
Default Summation,Persons Place of Usual Residence,,,
LGA (UR),Moonee Valley (C),,,
,,,,
Counting,LGA (UR),LANP - 4 Digit Level,ENGP Proficiency in Spoken English,Count
Persons Place of Usual Residence,Moonee Valley (C),Estonian,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Estonian,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Estonian,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Finnish,Very well,9
Persons Place of Usual Residence,Moonee Valley (C),Finnish,Well,7
Persons Place of Usual Residence,Moonee Valley (C),Finnish,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Finnish,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Finnish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Finnish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Finnish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Finnish and Related Languages, nec",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Southern European Languages, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),French,Very well,287
Persons Place of Usual Residence,Moonee Valley (C),French,Well,41
Persons Place of Usual Residence,Moonee Valley (C),French,Not well,11
Persons Place of Usual Residence,Moonee Valley (C),French,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),French,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),French,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),French,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Greek,Very well,2383
Persons Place of Usual Residence,Moonee Valley (C),Greek,Well,655
Persons Place of Usual Residence,Moonee Valley (C),Greek,Not well,507
Persons Place of Usual Residence,Moonee Valley (C),Greek,Not at all,47
Persons Place of Usual Residence,Moonee Valley (C),Greek,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Greek,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",43
Persons Place of Usual Residence,Moonee Valley (C),Greek,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nfd",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Catalan,Very well,6
Persons Place of Usual Residence,Moonee Valley (C),Catalan,Well,0
Persons Place of Usual Residence,Moonee Valley (C),Catalan,Not well,0
Persons Place of Usual Residence,Moonee Valley (C),Catalan,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Catalan,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Catalan,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),Catalan,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,Very well,128
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,Well,53
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,Not well,10
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",5
Persons Place of Usual Residence,Moonee Valley (C),Portuguese,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Spanish,Very well,720
Persons Place of Usual Residence,Moonee Valley (C),Spanish,Well,334
Persons Place of Usual Residence,Moonee Valley (C),Spanish,Not well,117
Persons Place of Usual Residence,Moonee Valley (C),Spanish,Not at all,25
Persons Place of Usual Residence,Moonee Valley (C),Spanish,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Spanish,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",9
Persons Place of Usual Residence,Moonee Valley (C),Spanish,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec",Very well,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec",Well,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec",Not well,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec",Not at all,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec",Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec","Not stated - language (LANP) stated, proficiency (ENGP) not stated",0
Persons Place of Usual Residence,Moonee Valley (C),"Iberian Romance, nec",Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Italian,Very well,4700
Persons Place of Usual Residence,Moonee Valley (C),Italian,Well,1845
Persons Place of Usual Residence,Moonee Valley (C),Italian,Not well,1161
Persons Place of Usual Residence,Moonee Valley (C),Italian,Not at all,99
Persons Place of Usual Residence,Moonee Valley (C),Italian,Not stated - both language (LANP) and proficiency (ENGP) not stated,0
Persons Place of Usual Residence,Moonee Valley (C),Italian,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",120
Persons Place of Usual Residence,Moonee Valley (C),Italian,Not applicable,0
Persons Place of Usual Residence,Moonee Valley (C),Maltese,Very well,450
Persons Place of Usual Residence,Moonee Valley (C),Maltese,Well,149
Persons Place of Usual Residence,Moonee Valley (C),Maltese,Not well,35
Persons Place of Usual Residence,Moonee Valley (C),Maltese,Not at all,0
